,0
0,0.130326986313
1,0.0177760124207
2,0.0140540599823
3,0.0203249454498
4,0.0165419578552
5,0.0127289295197
6,0.0190451145172
7,0.0140070915222
8,0.0202519893646
9,0.0165181159973
10,0.0152649879456
11,0.0452427864075
12,0.0115249156952
13,0.0177669525146
14,0.0140249729156
15,0.0539779663086
16,0.0540239810944
17,0.0539879798889
18,0.0203030109406
19,0.0240068435669
20,0.0215218067169
21,0.017735004425
22,0.0127840042114
23,0.0190188884735
24,0.0165119171143
25,0.0127549171448
26,0.0189719200134
27,0.0152580738068
28,0.0115211009979
29,0.0177891254425
30,0.0153059959412
31,0.0102620124817
32,0.0165350437164
33,0.0202429294586
34,0.05029296875
35,0.0227499008179
36,0.0527279376984
37,0.0189960002899
38,0.01527094841
39,0.0115280151367
40,0.0177509784698
41,0.0140180587769
42,0.02401304245
43,0.0202791690826
44,0.017805814743
45,0.0140328407288
46,0.0190010070801
47,0.0152578353882
48,0.011549949646
49,0.017767906189
50,0.0178079605103
51,0.0477778911591
52,0.0765681266785
53,0.0490930080414
54,0.0627698898315
55,0.0527949333191
56,0.0878319740295
57,0.0965309143066
58,0.0465269088745
59,0.0465409755707
60,0.0815441608429
61,0.0515258312225
62,0.062803030014
63,0.0527939796448
64,0.0640189647675
65,0.0790278911591
66,0.0840120315552
67,0.0552909374237
68,0.0541000366211
69,0.0540578365326
70,0.0640358924866
71,0.0790820121765
72,0.0590641498566
73,0.049085855484
74,0.0777878761292
75,0.0515959262848
76,0.0516030788422
77,0.104106903076
78,0.0540969371796
79,0.0540821552277
80,0.06409907341
81,0.0790739059448
82,0.0603399276733
83,0.0502800941467
84,0.0628139972687
85,0.114059925079
86,0.0540149211884
87,0.0640480518341
88,0.0540490150452
89,0.054046869278
90,0.0877778530121
91,0.047865152359
92,0.0591251850128
93,0.0741050243378
94,0.0641479492188
95,0.0690250396729
96,0.0490460395813
97,0.0540289878845
98,0.0616428852081
99,0.089203119278
100,0.111595153809
101,0.051600933075
102,0.0642619132996
103,0.054172039032
104,0.141541004181
105,0.0865910053253
106,0.0465540885925
107,0.0566258430481
108,0.0478620529175
109,0.084114074707
110,0.0541861057281
111,0.0665819644928
112,0.0465998649597
113,0.0591769218445
114,0.0492091178894
115,0.061646938324
116,0.104168891907
117,0.0791211128235
118,0.0591678619385
119,0.0491549968719
120,0.0841279029846
121,0.0541880130768
122,0.0541322231293
123,0.114177942276
124,0.0628521442413
125,0.0528709888458
126,0.0528929233551
127,0.0641739368439
128,0.0541779994965
129,0.0641810894012
130,0.167950153351
131,0.0591740608215
132,0.0491800308228
133,0.0616629123688
134,0.0529179573059
135,0.174196958542
136,0.19295501709
137,0.199199199677
138,0.0492131710052
139,1.09925413132
140,0.134228944778
141,0.060485124588
142,0.0766978263855
143,0.0467178821564
144,0.0579800605774
145,0.0479919910431
146,0.0592420101166
147,0.112999916077
148,0.052971124649
149,0.0654730796814
150,0.0804479122162
151,0.0504720211029
152,0.0604701042175
153,0.0542330741882
154,0.0917618274689
155,1.16432404518
156,0.0542390346527
157,0.0542330741882
158,0.0617570877075
159,0.189247131348
160,0.0592660903931
161,0.0492739677429
162,0.0492448806763
163,0.0592768192291
164,0.0492758750916
165,0.0592570304871
166,0.0742521286011
167,0.0642819404602
168,0.0542750358582
169,0.054249048233
170,0.0392620563507
171,0.0155370235443
172,0.0117588043213
173,0.0181038379669
174,0.0155220031738
175,0.0117719173431
176,0.0180809497833
177,0.0130879878998
178,0.0180370807648
179,0.0142290592194
180,0.0217881202698
181,0.0180690288544
182,0.0142531394958
183,0.0217709541321
184,0.0355191230774
185,0.025505065918
186,0.0454468727112
187,0.0192930698395
188,0.0167598724365
189,0.0130770206451
190,0.019268989563
191,0.0155301094055
192,0.0104739665985
193,0.016813993454
194,0.013072013855
195,0.0267601013184
196,0.0180680751801
197,0.0154809951782
198,0.0155208110809
199,0.0105218887329
200,0.0167829990387
201,0.0131080150604
202,0.0206098556519
203,0.0167570114136
204,0.0131180286407
205,0.0192639827728
206,0.0168011188507
207,0.0180640220642
208,0.0192940235138
209,0.0192940235138
210,0.0242400169373
211,0.0242629051208
212,0.0192868709564
213,0.0155739784241
214,0.0130498409271
215,0.0193119049072
216,0.0155539512634
217,0.0117790699005
218,0.0180900096893
219,0.123102903366
220,0.0243098735809
221,0.0192940235138
222,0.0492959022522
223,0.0155580043793
224,0.0117599964142
225,0.0180881023407
226,0.0143089294434
227,0.0205130577087
228,0.0180389881134
229,0.0142970085144
230,0.0205330848694
231,0.0167682170868
232,0.0130658149719
233,0.0180668830872
234,0.0142939090729
235,0.0205278396606
236,0.0155079364777
237,0.010577917099
238,0.0242929458618
239,0.05437707901
240,0.0267889499664
241,0.0217959880829
242,0.0180790424347
243,0.0130569934845
244,0.0192840099335
245,0.0155239105225
246,0.0156090259552
247,0.045569896698
248,0.0130999088287
249,0.0193169116974
250,0.0155899524689
251,0.0118329524994
252,0.0180780887604
253,0.0142860412598
254,0.0193300247192
255,0.0243411064148
256,0.0268549919128
257,0.0718588829041
258,0.0193068981171
259,0.0155608654022
260,0.0130949020386
261,0.0205659866333
262,0.0180990695953
263,0.0143449306488
264,0.0205550193787
265,0.018059015274
266,0.0143160820007
267,0.0205860137939
268,0.0180988311768
269,0.014319896698
270,0.0542979240417
271,0.0293328762054
272,0.0742890834808
273,0.1043009758
274,0.0230579376221
275,0.0192978382111
276,0.016813993454
277,0.0142910480499
278,0.0255529880524
279,0.0117878913879
280,0.0193219184875
281,0.0155050754547
282,0.0118269920349
283,0.0180401802063
284,0.0143370628357
285,0.0206251144409
286,0.0168280601501
287,0.0130670070648
288,0.0193269252777
289,0.0155839920044
290,0.0118520259857
291,0.0518028736115
292,0.07683801651
